('997', 'Nintendo of America, Inc.')
('1270', 'NIST')
('1268', 'NNSA Graduate: Fellowship Program')
('782', 'Northeastern University')
('601', 'Northrop Grumman Corporation')
('1292', 'Northwestern Master of Science in Law')
('896', 'Northwestern University')
('641', 'Nucor')
('278', 'NVIDIA')
('1434', 'NXP Semiconductors')
('888', 'NYU Center for Data Science')
('1199', 'NYU Tandon School of Engr.')
('680', 'Oak Ridge Institute for Science & Education')
('1269', 'Oak Ridge National Laboratory')
('590', 'Oracle')
('797', 'Oregon State University')
('577', 'Out in STEM, Inc.')
('752', 'Pacific Gas and Electric')
('1261', "Pacific NW Na'l. Lab.")
('1353', 'PBF Energy')
('1285', 'Penn State Univ., College of Engr.')
('1207', 'PepsiCo')
('446', 'Pfizer, Inc.')
('982', 'PIMCO')
('773', 'Polaris')
('1133', 'Procter & Gamble')
('930', 'PTC, Inc.')
('1288', 'Purdue Univ., College of Engr.')
('1590', 'Ramboll')
('1253', 'Regeneron')
('1430', 'Relativity Space')
('791', 'Rensselaer Polytechnic Institute')
('1395', 'Research in Germany')
('579', 'Rewriting the Code')
('1386', 'Rice University NEWT Center')
('697', 'Rice University Office of Graduate and Postdoctora')
('615', 'Rivian')
('527', 'Rockwell Automation')
('1278', "RTI Int'l.")
('1101', 'RTX')
('1378', 'San Francisco Public Utilities Commission')
('1368', 'Sandia National Laboratories')
('875', 'Sentry')
('833', 'Skanska')
('1431', 'Skyworks Solutions')
('469', "SLAC Nat'l. Accelerator Lab.")
('1467', 'Smurfit WestRock')
('441', 'SoCalGas')
('573', 'Society of Women Engineers')
('1266', 'Somos')
('1421', 'Southern Company')
('684', 'Southern Methodist University')
('1190', 'Southwire')
('1331', 'SpaceX')
('386', 'SRAM')
('683', 'Stanford Engineering')
('1471', 'Stantec')
('692', 'Stevens Institute of Technology')
('829', 'T. Rowe Price')
('1452', 'TC Energy')
('851', 'TechnipFMC')
('1163', 'Tennessee Valley Authority')
('1371', 'Tetra Tech')
('788', 'Texas A&M')
('576', 'Texas Dept. of Transportation')
('1241', 'Texas Instruments')
('1588', 'The Lane Construction Corp')
('668', 'The National GEM Consortium')
('382', 'The Trade Desk')
('1347', 'Trane Technologies')
('934', 'Trimble')
('890', 'Tufts University')
('1427', 'Turner Construction')
('871', 'Two Sigma')
('983', 'U.S. Department of State')
('670', 'U.S. EPA')
('1296', 'UC Berkeley')
('789', 'UC Irvine, Samueli School of Engineering')
('1293', 'UChicago Pritzker School of Molecular Engr')
('783', 'UCLA CEED')
('785', 'UCLA ENGR Online Master of Financial Engr.')
('787', 'ULCA Division of Graduate Education')
('695', 'UNC Dept. of Computer Science')
('1393', 'Univ. of Buffalo, SUNY')
('696', 'Univ. of California Santa Cruz')
('686', 'Univ. of California, Berkeley')
('698', 'Univ. of Central Florida')
('1394', 'Univ. of Colorado Boulder')
('1388', 'Univ. of Illinois')
('894', 'Univ. of Iowa, College of Engr')
('1189', 'Univ. of Maryland - Engr.')
('1387', 'Univ. of Maryland, Baltimore Co.')
('1383', 'Univ. of Michigan College of Engr')
('685', 'Univ. of Minnesota, Dept. of Computer Science')
('899', 'Univ. of Nebraska - Lincoln')
('693', 'Univ. of New Mexico')
('886', 'Univ. of Pittsburgh - Swanson School of Engr')
('694', 'Univ. of San Francisco')
('1283', 'Univ. of Southern Calif. - USC Viterbi')
('1195', 'Univ. of Texas at Arlington')
('1391', 'Univ. of Texas at Dallas')
('1390', 'Univ. of Texas Rio Grande Valley, The')
('1382', 'Univ. of Virginia')
('1299', 'Univ. of Washington Allen School of Computer')
('689', 'Univ. of Washington College of Engr.')
('884', 'Univ. of Washington, Molecular Engr')
('1397', 'University of Michigan')
('1298', 'Unv. of Miami, College of Engr.')
('1307', 'UPS')
('578', 'US Extremely Large Telescope Program')
('273', 'USAA')
('1491', 'USG')
('1193', 'Utah State University')
('792', 'Vanderbilt Univ. School of Engr.')
('1315', 'Veolia Water Technologies and Solutions')
('1547', 'Verizon')
('794', 'Villanova University')
('895', 'Virginia Tech - College of Engr.')
('1556', 'Visa, Inc.')
('1453', 'VSP Vision')
('1221', 'Wabtec')
('994', 'Walmart')
('1483', 'Walt Disney Imagineering')
('287', 'Waymo')
('801', 'Wells Fargo')
('1377', 'WEX')
('383', 'Whiting-Turner')
('823', 'Woodward Inc')
('887', 'Worcester Polytechnic Institute')
('1478', 'World Wide Technology')
('1252', 'WSP USA, Inc.')
('1294', 'Yale Engineering')
('1583', 'Yello')
('1476', 'Zoox')
('1477', 'ZS Associates, Inc.')
